ID,Name,State,Year,Month,Precipitation,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2015,January,0.01,-3.96,1,3.97
CA-003,Alpine County,California,2015,January,0.22,-6.38,2,6.6
CA-005,Amador County,California,2015,January,0.14,-6.56,1,6.7
CA-007,Butte County,California,2015,January,0.21,-8.52,1,8.73
CA-009,Calaveras County,California,2015,January,0.13,-6.53,1,6.66
CA-011,Colusa County,California,2015,January,0.18,-4.28,1,4.46
CA-013,Contra Costa County,California,2015,January,0.01,-4.08,1,4.09
CA-015,Del Norte County,California,2015,January,3.49,-10.41,6,13.9
CA-017,El Dorado County,California,2015,January,0.12,-8.31,1,8.43
CA-019,Fresno County,California,2015,January,0.19,-3.56,5,3.75
CA-021,Glenn County,California,2015,January,0.11,-5.05,1,5.16
CA-023,Humboldt County,California,2015,January,2.13,-9.53,5,11.66
CA-025,Imperial County,California,2015,January,0.36,-0.17,70,0.53
CA-027,Inyo County,California,2015,January,0.64,-0.39,57,1.03
CA-029,Kern County,California,2015,January,0.81,-0.95,45,1.76
CA-031,Kings County,California,2015,January,0.17,-1.36,9,1.53
CA-033,Lake County,California,2015,January,0.46,-8.59,2,9.05
CA-035,Lassen County,California,2015,January,0.13,-3.2,1,3.33
CA-037,Los Angeles County,California,2015,January,1.39,-1.9,47,3.29
CA-039,Madera County,California,2015,January,0.16,-4.28,2,4.44
CA-041,Marin County,California,2015,January,0.05,-7.74,1,7.79
CA-043,Mariposa County,California,2015,January,0.13,-6.24,2,6.37
CA-045,Mendocino County,California,2015,January,1.04,-9.43,4,10.47
CA-047,Merced County,California,2015,January,0.02,-2.24,1,2.26
CA-049,Modoc County,California,2015,January,0.39,-2.31,2,2.7
CA-051,Mono County,California,2015,January,0.18,-2.46,2,2.64
CA-053,Monterey County,California,2015,January,0.1,-4.29,2,4.39
CA-055,Napa County,California,2015,January,0.06,-6.81,1,6.87
CA-057,Nevada County,California,2015,January,0.11,-9.5,1,9.61
CA-059,Orange County,California,2015,January,0.84,-2.02,37,2.86
CA-061,Placer County,California,2015,January,0.12,-8.59,1,8.71
CA-063,Plumas County,California,2015,January,0.15,-7.61,1,7.76
CA-065,Riverside County,California,2015,January,0.75,-0.79,55,1.54
CA-067,Sacramento County,California,2015,January,0.02,-3.88,1,3.9
CA-069,San Benito County,California,2015,January,0.04,-3.41,2,3.45
CA-071,San Bernardino County,California,2015,January,1.01,-0.16,80,1.17
CA-073,San Diego County,California,2015,January,0.6,-2.14,23,2.74
CA-075,San Francisco County,California,2015,January,0,-5.27,1,5.27
CA-077,San Joaquin County,California,2015,January,0.01,-2.92,1,2.93
CA-079,San Luis Obispo County,California,2015,January,0.35,-3.36,9,3.71
CA-081,San Mateo County,California,2015,January,0.01,-6.19,1,6.2
CA-083,Santa Barbara County,California,2015,January,0.95,-3.12,24,4.07
CA-085,Santa Clara County,California,2015,January,0.01,-4.83,1,4.84
CA-087,Santa Cruz County,California,2015,January,0,-7.19,1,7.19
CA-089,Shasta County,California,2015,January,0.67,-6.95,5,7.62
CA-091,Sierra County,California,2015,January,0.11,-8.46,1,8.57
CA-093,Siskiyou County,California,2015,January,1.67,-5.07,7,6.74
CA-095,Solano County,California,2015,January,0.02,-4.35,1,4.37
CA-097,Sonoma County,California,2015,January,0.19,-8.93,1,9.12
CA-099,Stanislaus County,California,2015,January,0.02,-2.74,1,2.76
CA-101,Sutter County,California,2015,January,0.1,-3.83,2,3.93
CA-103,Tehama County,California,2015,January,0.25,-6.61,1,6.86
CA-105,Trinity County,California,2015,January,1.79,-8.98,7,10.77
CA-107,Tulare County,California,2015,January,0.47,-3.65,8,4.12
CA-109,Tuolumne County,California,2015,January,0.14,-7.54,2,7.68
CA-111,Ventura County,California,2015,January,1.97,-2.47,46,4.44
CA-113,Yolo County,California,2015,January,0.06,-4.19,1,4.25
CA-115,Yuba County,California,2015,January,0.08,-7.35,1,7.43
CA-001,Alameda County,California,2015,February,2.25,-1.09,58,3.34
CA-003,Alpine County,California,2015,February,5.53,-0.4,74,5.93
CA-005,Amador County,California,2015,February,5.36,-0.69,74,6.05
CA-007,Butte County,California,2015,February,4.58,-3.03,51,7.61
CA-009,Calaveras County,California,2015,February,5.26,-0.71,73,5.97
CA-011,Colusa County,California,2015,February,3.66,-0.42,70,4.08
CA-013,Contra Costa County,California,2015,February,2.34,-1.03,60,3.37
CA-015,Del Norte County,California,2015,February,11.17,-0.45,68,11.62
CA-017,El Dorado County,California,2015,February,6.96,-0.63,73,7.59
CA-019,Fresno County,California,2015,February,1.89,-1.67,45,3.56
CA-021,Glenn County,California,2015,February,3.84,-0.82,68,4.66
CA-023,Humboldt County,California,2015,February,10.79,0.73,87,10.06
CA-025,Imperial County,California,2015,February,0.05,-0.45,31,0.5
CA-027,Inyo County,California,2015,February,0.48,-0.59,51,1.07
CA-029,Kern County,California,2015,February,0.86,-0.95,43,1.81
CA-031,Kings County,California,2015,February,0.72,-0.78,43,1.5
CA-033,Lake County,California,2015,February,6.44,-1.27,70,7.71
CA-035,Lassen County,California,2015,February,2.57,-0.23,76,2.8
CA-037,Los Angeles County,California,2015,February,0.78,-2.64,31,3.42
CA-039,Madera County,California,2015,February,1.82,-2.19,37,4.01
CA-041,Marin County,California,2015,February,3.53,-3.02,48,6.55
CA-043,Mariposa County,California,2015,February,2.46,-3.33,33,5.79
CA-045,Mendocino County,California,2015,February,7.23,-1.59,70,8.82
CA-047,Merced County,California,2015,February,1.2,-0.9,48,2.1
CA-049,Modoc County,California,2015,February,1.66,-0.55,61,2.21
CA-051,Mono County,California,2015,February,1.5,-0.92,56,2.42
CA-053,Monterey County,California,2015,February,2.19,-1.91,52,4.1
CA-055,Napa County,California,2015,February,4.33,-1.55,65,5.88
CA-057,Nevada County,California,2015,February,6.73,-2.02,65,8.75
CA-059,Orange County,California,2015,February,0.58,-2.37,30,2.95
CA-061,Placer County,California,2015,February,6.73,-1.19,70,7.92
CA-063,Plumas County,California,2015,February,5.64,-1.09,71,6.73
CA-065,Riverside County,California,2015,February,0.37,-1.2,33,1.57
CA-067,Sacramento County,California,2015,February,2.59,-0.9,62,3.49
CA-069,San Benito County,California,2015,February,1.54,-1.78,43,3.32
CA-071,San Bernardino County,California,2015,February,0.52,-0.65,51,1.17
CA-073,San Diego County,California,2015,February,0.75,-2.04,26,2.79
CA-075,San Francisco County,California,2015,February,2.11,-2.33,36,4.44
CA-077,San Joaquin County,California,2015,February,1.68,-0.84,60,2.52
CA-079,San Luis Obispo County,California,2015,February,1.87,-1.72,53,3.59
CA-081,San Mateo County,California,2015,February,3.26,-1.99,56,5.25
CA-083,Santa Barbara County,California,2015,February,0.7,-3.48,26,4.18
CA-085,Santa Clara County,California,2015,February,2.87,-1.33,61,4.2
CA-087,Santa Cruz County,California,2015,February,3.65,-2.6,56,6.25
CA-089,Shasta County,California,2015,February,6.57,-0.18,75,6.75
CA-091,Sierra County,California,2015,February,6.91,-0.86,72,7.77
CA-093,Siskiyou County,California,2015,February,7.72,2.1,106,5.62
CA-095,Solano County,California,2015,February,2.54,-1.22,56,3.76
CA-097,Sonoma County,California,2015,February,5.47,-2.15,62,7.62
CA-099,Stanislaus County,California,2015,February,1.96,-0.57,62,2.53
CA-101,Sutter County,California,2015,February,2.49,-1,59,3.49
CA-103,Tehama County,California,2015,February,4.29,-1.73,57,6.02
CA-105,Trinity County,California,2015,February,11.74,2.39,96,9.35
CA-107,Tulare County,California,2015,February,2.29,-1.85,49,4.14
CA-109,Tuolumne County,California,2015,February,5.12,-1.91,61,7.03
CA-111,Ventura County,California,2015,February,0.88,-3.66,27,4.54
CA-113,Yolo County,California,2015,February,3.2,-0.66,69,3.86
CA-115,Yuba County,California,2015,February,4.42,-2.38,57,6.8
CA-001,Alameda County,California,2015,March,0.26,-2.61,8,2.87
CA-003,Alpine County,California,2015,March,0.62,-4.48,3,5.1
CA-005,Amador County,California,2015,March,0.83,-4.78,8,5.61
CA-007,Butte County,California,2015,March,0.58,-5.76,4,6.34
CA-009,Calaveras County,California,2015,March,0.64,-4.94,7,5.58
CA-011,Colusa County,California,2015,March,0.54,-2.5,12,3.04
CA-013,Contra Costa County,California,2015,March,0.26,-2.5,9,2.76
CA-015,Del Norte County,California,2015,March,5.65,-4.39,28,10.04
CA-017,El Dorado County,California,2015,March,0.87,-5.88,4,6.75
CA-019,Fresno County,California,2015,March,0.28,-2.9,6,3.18
CA-021,Glenn County,California,2015,March,0.21,-3.31,5,3.52
CA-023,Humboldt County,California,2015,March,3.68,-4.38,20,8.06
CA-025,Imperial County,California,2015,March,0.63,0.26,105,0.37
CA-027,Inyo County,California,2015,March,0.23,-0.61,30,0.84
CA-029,Kern County,California,2015,March,0.31,-1.27,14,1.58
