ID,Name,State,Year,Month,Temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,2015,January,51.2,4.8,128,46.4
CA-003,Alpine County,California,2015,January,38.1,8.7,130,29.4
CA-005,Amador County,California,2015,January,50.2,7.1,130,43.1
CA-007,Butte County,California,2015,January,50.3,7.1,130,43.2
CA-009,Calaveras County,California,2015,January,50.1,6.8,130,43.3
CA-011,Colusa County,California,2015,January,50.8,6.4,130,44.4
CA-013,Contra Costa County,California,2015,January,51.4,5.5,130,45.9
CA-015,Del Norte County,California,2015,January,47.7,8.4,131,39.3
CA-017,El Dorado County,California,2015,January,47.2,7.6,130,39.6
CA-019,Fresno County,California,2015,January,44.2,5,127,39.2
CA-021,Glenn County,California,2015,January,50.5,7.1,130,43.4
CA-023,Humboldt County,California,2015,January,47.8,6,130,41.8
CA-025,Imperial County,California,2015,January,59.2,5,125,54.2
CA-027,Inyo County,California,2015,January,47.3,6.1,127,41.2
CA-029,Kern County,California,2015,January,49.4,5.1,127,44.3
CA-031,Kings County,California,2015,January,47.7,2.4,95,45.3
CA-033,Lake County,California,2015,January,51.1,8.2,130,42.9
CA-035,Lassen County,California,2015,January,38,8.9,130,29.1
CA-037,Los Angeles County,California,2015,January,54.5,6.7,128,47.8
CA-039,Madera County,California,2015,January,45.2,5.4,127,39.8
CA-041,Marin County,California,2015,January,53,5.9,130,47.1
CA-043,Mariposa County,California,2015,January,46.7,6.9,127,39.8
CA-045,Mendocino County,California,2015,January,49.8,5.9,130,43.9
CA-047,Merced County,California,2015,January,48,2.7,99,45.3
CA-049,Modoc County,California,2015,January,38.7,10,130,28.7
CA-051,Mono County,California,2015,January,36,8.8,130,27.2
CA-053,Monterey County,California,2015,January,53.2,6.3,129,46.9
CA-055,Napa County,California,2015,January,51.2,6.1,130,45.1
CA-057,Nevada County,California,2015,January,45.3,7.7,130,37.6
CA-059,Orange County,California,2015,January,60.7,6.7,127,54
CA-061,Placer County,California,2015,January,46,7.3,130,38.7
CA-063,Plumas County,California,2015,January,38.7,7.3,129,31.4
CA-065,Riverside County,California,2015,January,55.6,5.2,126,50.4
CA-067,Sacramento County,California,2015,January,50.1,4.3,121,45.8
CA-069,San Benito County,California,2015,January,51.6,6.7,129,44.9
CA-071,San Bernardino County,California,2015,January,52.1,5.5,127,46.6
CA-073,San Diego County,California,2015,January,55.5,6,126,49.5
CA-075,San Francisco County,California,2015,January,54,5.8,129,48.2
CA-077,San Joaquin County,California,2015,January,49.6,4.1,117,45.5
CA-079,San Luis Obispo County,California,2015,January,52.3,5.4,127,46.9
CA-081,San Mateo County,California,2015,January,53.6,5.6,129,48
CA-083,Santa Barbara County,California,2015,January,54.6,6.6,128,48
CA-085,Santa Clara County,California,2015,January,51.2,5.5,127,45.7
CA-087,Santa Cruz County,California,2015,January,54.3,6.7,129,47.6
CA-089,Shasta County,California,2015,January,47,8.2,131,38.8
CA-091,Sierra County,California,2015,January,40,8.3,131,31.7
CA-093,Siskiyou County,California,2015,January,41.6,8.7,131,32.9
